user_name,message_count,reactions_count,reaction_rate_all,☃,⚡,✍,❤,❤‍🔥,🌚,🌭,🍌,🍓,🍾,🎃,🎉,🏆,🐳,👀,👌,👍,👎,👏,👨‍💻,👻,👾,💅,💊,💔,💘,💩,💯,🔥,🕊,🗿,😁,😇,😈,😍,😎,😐,😡,😢,😨,😭,😱,😴,🙈,🙉,🙊,🙏,🤓,🤔,🤝,🤡,🤣,🤨,🤩,🤪,🤬,🤮,🤯,🤷,🤷‍♀,🤷‍♂,🥰,🥴,🦄,🫡
Liza,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roman,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,3,1,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Diana,91,467,5.1319,0,0,0,33,0,1,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,87,5,0,0,256,0,1,0,0,0,0,13,2,0,1,0,1,0,0,0,0,6,4,0,7,0,0,1,0,0,0,0,0,0,3,1,10,0
🌲 Hengenvaara 🌲🪶🌿🦦🪹🌲,16,56,3.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,1,0,0,29,0,0,2,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,3,0
Юрий Чуйко,378,1337,3.537,0,1,0,254,0,2,0,0,0,0,0,4,0,0,5,4,106,1,0,0,0,0,2,0,11,0,0,176,36,0,1,509,1,0,5,1,2,0,66,0,44,6,1,4,0,0,1,0,8,4,3,15,0,1,2,0,0,1,1,1,0,43,0,11,4
Boris Chovnik,13,39,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,1,0,0,18,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Valera,8,23,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,5,3,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Андрей,2,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Люба Luba,3,14,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Олег,137,681,4.9708,0,0,0,84,2,0,2,0,0,4,0,0,0,0,2,0,54,1,0,0,0,0,0,2,3,0,0,62,31,0,0,323,0,0,0,0,0,0,42,0,16,18,0,0,0,0,0,0,1,2,0,8,0,0,0,0,0,1,0,0,0,17,1,5,0
